income,credit_score,employment,approved
146958,528,employed,0
40795,535,self-employed,0
25860,512,employed,0
128694,659,employed,1
144879,826,employed,1
135268,686,employed,1
101820,742,self-employed,1
79886,585,employed,0
31265,783,employed,1
107386,565,self-employed,0
62194,669,unemployed,0
112498,544,employed,0
137727,561,unemployed,0
69131,633,employed,0
85263,783,employed,1
41023,527,unemployed,0
66090,607,unemployed,0
92221,543,self-employed,0
89820,839,self-employed,1
25769,785,employed,1
84735,830,employed,1
87955,627,unemployed,0
89925,847,employed,1
146637,730,unemployed,0
92969,689,unemployed,0
30311,724,self-employed,0
128355,782,employed,1
129724,620,employed,1
108104,615,employed,1
78707,732,employed,1
110305,758,employed,1
53693,697,employed,1
96932,636,employed,1
118016,817,employed,1
131970,664,employed,1
50658,724,employed,1
109478,806,employed,1
147537,733,unemployed,0
43431,671,employed,0
27747,651,employed,0
148855,814,employed,1
84150,659,unemployed,0
90725,595,employed,0
109654,732,employed,1
60773,679,employed,1
144346,612,employed,1
92435,817,employed,1
81886,551,employed,0
91803,767,employed,1
56551,794,unemployed,0
141216,612,self-employed,1
36394,600,employed,0
94092,612,employed,0
28890,580,unemployed,0
66606,686,employed,1
121276,612,employed,1
105038,501,employed,0
112313,629,employed,1
35627,719,self-employed,0
33792,553,unemployed,0
133859,842,employed,1
133557,723,employed,1
98969,724,employed,1
68001,625,employed,0
101552,629,employed,1
48897,552,employed,0
93148,671,unemployed,0
146729,717,employed,1
149243,659,employed,1
145923,697,self-employed,1
145174,746,unemployed,0
48483,823,employed,1
149358,702,employed,1
73555,683,employed,1
42159,622,employed,0
135510,754,employed,1
131530,793,unemployed,0
105077,779,employed,1
60920,824,employed,1
117067,597,employed,1
92121,697,employed,1
94479,739,self-employed,1
114475,643,unemployed,0
44457,596,employed,0
91557,700,employed,1
102189,623,employed,1
134109,686,employed,1
103953,825,employed,1
77995,848,employed,1
65757,758,employed,1
34692,647,employed,0
70758,751,employed,1
97409,845,employed,1
96211,646,employed,1
90697,647,employed,1
62065,698,employed,1
117093,807,self-employed,1
124299,627,employed,1
57606,538,employed,0
36534,837,employed,1
119663,628,employed,1
65397,766,employed,1
116387,650,employed,1
26016,797,self-employed,1
114789,598,employed,1
80591,762,employed,1
114812,751,employed,1
48247,643,employed,0
49300,845,employed,1
99065,611,self-employed,0
107798,559,employed,0
34268,501,self-employed,0
111807,803,self-employed,1
37185,753,employed,1
88704,639,employed,1
111779,536,employed,0
64099,659,employed,0
33571,508,employed,0
148372,732,employed,1
130512,598,employed,1
63044,646,employed,0
76214,803,unemployed,0
86228,707,employed,1
139752,630,unemployed,0
73984,651,employed,0
65774,553,employed,0
27568,619,employed,0
145151,660,employed,1
87592,615,self-employed,0
92563,574,unemployed,0
27695,612,unemployed,0
149375,603,employed,1
73190,839,employed,1
30258,753,unemployed,0
112538,726,unemployed,0
64504,611,self-employed,0
58159,598,employed,0
38986,652,employed,0
86858,848,unemployed,0
37666,837,employed,1
63660,693,self-employed,0
28561,809,self-employed,1
51854,662,employed,0
89505,707,unemployed,0
129488,668,unemployed,0
77251,660,employed,1
47662,567,self-employed,0
33392,788,employed,1
55535,776,unemployed,0
103603,803,employed,1
138569,634,self-employed,1
77256,694,employed,1
114135,627,employed,1
60222,532,self-employed,0
102373,675,employed,1
104575,521,employed,0
148684,737,self-employed,1
121354,657,self-employed,1
109651,537,employed,0
88335,729,employed,1
35965,550,employed,0
49538,763,employed,1
133066,782,employed,1
95592,526,employed,0
123018,725,unemployed,0
138252,776,unemployed,0
33110,785,unemployed,0
104309,596,employed,0
52266,783,employed,1
77992,816,employed,1
107948,803,employed,1
147073,646,employed,1
123806,503,self-employed,0
31910,534,employed,0
135989,691,employed,1
115982,548,employed,0
146626,516,unemployed,0
144176,671,employed,1
25206,719,employed,0
112054,657,employed,1
112897,545,unemployed,0
147409,505,employed,0
48419,598,unemployed,0
75636,732,unemployed,0
147546,536,employed,1
139238,779,employed,1
75015,848,self-employed,1
142478,801,employed,1
147096,680,employed,1
132059,594,unemployed,0
79268,598,self-employed,0
135687,687,self-employed,1
112939,615,unemployed,0
43141,690,employed,0
105356,752,employed,1
130878,660,unemployed,0
96910,755,employed,1
81044,822,employed,1
92214,627,self-employed,0
142930,517,employed,0
